ccaa;V1;V2;V3;V4;V5
Andalucia;74,3;81,7;81,0;69,8;96,9
Aragon;80,1;84,9;83,8;84,9;97,5
Asturias;75,9;81,3;80,8;77,7;97,8
I.Baleares;84,0;89,3;87,8;81,4;98,8
Canarias;73,1;80,9;80,1;79,8;94,0
Cantabria;81,7;83,5;82,4;80,5;97,2
Castilla Leon;77,1;79,2;78,2;80,0;97,0
Castilla La Mancha;74,1;80,6;80,1;72,5;96,8
Catalunya;81,2;83,7;82,9;84,6;96,9
Comunitat Valenciana;75,3;82,0;81,2;68,5;98,0
Extremadura;70,4;79,4;78,4;66,2;97,4
Galicia;74,6;78,8;78,4;75,3;97,0
Madrid;86,5;88,9;88,5;88,1;98,8
Murcia;77,6;86,0;84,7;58,7;98,3
Navarra;82,6;88,3;87,7;82,6;97,8
Pais Vasco;81,7;86,8;86,3;82,9;98,4
La Rioja;74,4;81,0;80,1;78,1;97,4
Ceuta;84,6;88,4;88,4;86,3;94,7
Melilla;82,7;80,8;78,9;74,1;98,1
